Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate),Lake Level (PC1 5pt Smooth)
140.177,40.41126075,-0.1085
140.265,273.0658686,-0.10224
140.344,16.44870845,-0.10382
140.43,50.47584659,-0.10148
140.517,148.0838339,-0.09974
140.603,45.73062498,-0.09968
140.69,88.6862037,-0.10216
140.777,76.61054421,-0.1004
140.863,111.2073496,-0.05448
140.948,82.11762027,-0.05446
140.982,208.6049257,-0.05614
140.987,74.06995759,-0.06138
141.066,43.38540851,-0.06036
141.152,80.22766737,-0.11054
141.237,56.11016679,-0.0495
141.323,104.4189709,-0.05434
141.402,74.14071336,0.02054
141.493,50.16810288,0.0217
141.573,91.91694831,0.01448
141.658,87.19178017,0.00664
141.743,142.4586716,0.0364
141.829,263.9246732,-0.0316
141.917,67.30308405,-0.03052
142.003,58.67625487,0.00582
142.089,35.69551663,-0.00872
142.168,47.6243816,0.03204
142.255,14.59126766,0.0954
142.341,62.7059207,0.14934
142.428,50.11801073,0.19156
142.514,245.0879377,0.21816
142.604,75.47877849,0.1937
142.692,171.4471172,0.19998
142.795,227.2678498,0.20094
142.802,62.39713448,0.17202
142.905,29.59064149,0.17338
143.009,84.11989573,0.16318
143.114,70.89301591,0.11934
143.219,87.69308904,0.07912
143.325,70.65028185,0.10668
143.432,142.2830244,0.09386
143.539,71.71459677,0.14832
143.647,157.5552522,0.17554
143.755,35.27683158,0.17986
143.814,62.22280905,0.106
143.91,29.73433889,0.0826
144.02,90.6294836,0.01752
144.132,46.0818025,0.02334
144.244,138.3096569,0.01716
144.358,117.272487,0.0352
144.472,53.96653897,0.02796
144.586,92.69750139,0.04668
144.702,27.39458895,-0.00024
144.759,183.615298,-0.00692
144.776,41.95244228,-0.0192
144.901,75.62629989,-0.04238
145.036,63.85647827,-0.08766
145.172,107.986271,-0.10412
145.31,85.40022328,-0.1125
145.449,22.06893989,-0.11812
145.59,39.51838589,-0.12242
145.733,67.86387623,-0.12302
145.764,86.30721209,-0.12924
145.908,49.23327161,-0.12984
146.054,139.0860521,-0.1292
146.202,121.7145137,-0.13762
146.352,35.0656144,-0.1516
146.504,197.3089487,-0.16172
146.658,90.72160582,-0.18546
146.814,118.5622669,-0.1774
146.971,39.17861357,-0.17946
147.065,405.6466664,-0.17612
147.081,96.21248331,-0.17054
147.239,148.6148234,-0.15966
147.405,177.8481907,-0.17878
147.574,147.4463829,-0.1758
147.744,93.89992812,-0.17684
147.917,75.85516863,-0.18
148.093,211.5100343,-0.18282
148.142,123.3802782,-0.17634
148.31,63.90771832,-0.1805
148.497,70.32481328,-0.17748
148.675,32.99364379,-0.17982
148.861,158.5671295,-0.17654
