Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate)
675.98,19.22379032
676.472,3.00175776
676.997,0.685769313
677.519,3.698926468
678.043,0.696909486
678.566,9.015000898
679.086,1.883903961
679.608,3.826967383
680.127,6.255070337
680.564,38.2395234
680.591,1.396132827
681.014,0.250316673
681.254,1.229511447
681.677,1.709433164
682.099,4.157505889
682.521,1.723812849
682.943,0.977541524
683.175,3.372246257
683.6,3.798767979
684.022,4.943614891
684.443,18.98882047
684.864,8.067999871
685.284,4.552752744
685.715,27.48635122
686.136,0
686.559,21.79163538
686.98,26.07539339
687.4,7.99103675
687.82,12.24623963
688.24,536.1899381
688.986,5764.435741
690.145,6.616914863
690.682,28.80279733
691.219,55.13170283
691.757,15.32771813
692.295,70.00254938
692.832,27.19789338
693.37,16.74232018
693.909,65.70745003
694.322,783.4910623
697.45,21.20622855
697.845,2.920691331
698.27,22.82695046
698.696,25.70825625
699.119,13.72467433
699.546,31.74802963
699.736,22.67172245
700.135,10.5364433
700.559,16.22099344
700.987,5.446213893
701.412,13.13362167
701.84,25.08697105
701.99,8.495027715
702.364,0.135394559
702.793,11.94046814
703.128,2.361677791
703.527,4.082819466
703.944,14.12194901
704.374,2.686267236
704.802,13.75992167
705.234,29.59755696
705.666,3.858122818
705.9,9815.760834
705.968,1.419283023
706.484,1.005791536
707,11.30325906
708.163,49.19827249
723.659,10.17699137
723.976,2.930206252
724.131,5.883273875
724.47,3.088663251
724.81,0.996219654
725.151,6.579883496
725.496,6.636808391
725.838,0.792486537
726.27,1.092098367
726.614,1.148170199
727.003,4.991444371
727.261,4.61823953
727.61,7.285732389
727.956,6.279185926
728.302,8.844946354
728.4,0.226369145
728.758,30.50622459
729.103,14.76363178
729.459,17.53607259
729.8,14.05008021
730.131,14.42253629
730.504,20.67716497
730.851,15.1355297
731.115,11.58788889
734.194,2.915501822
734.642,9.462194169
735.091,10.68807818
735.541,6.661813801
735.993,15.59259285
736.445,24.57496484
736.899,17.18632361
737.532,40.12938833
738.375,11.29150498
738.83,27.95444567
739.29,33.42430843
739.751,28.50907428
739.78,27.58943079
740.25,8.605318336
740.718,14.84723523
741.179,217.8234456
741.646,6.418525933
742.587,0.576008058
742.98,2.061257298
746.664,14.19405051
748.284,11.72893318
748.614,4.616614606
749.276,4.038022408
749.941,9.337845843
750.608,16.44760523
751.279,44.2264414
751.952,8.748370197
752.627,15.36612459
753.546,109.7398968
754.093,48.76087343
754.606,58.19647018
754.791,5.23958198
755.275,37.88691504
755.797,7.855339328
756.315,31.69232906
756.836,10.86744878
757.362,10.40862426
757.886,9.016618858
758.416,9.669844364
758.943,21.21467361
759.476,15.65443572
764.843,132.0987937
778.942,5.674219052
779.509,3.793569387
780.077,3.511855998
780.652,7.562489937
781.225,1.906890792
781.835,64.89857012
782.38,2.924363909
783.376,5.621031465
783.957,1.938905297
784.546,1.302208195
785.131,12.51686822
785.718,8.593236376
786.201,29.25530899
786.797,17.45214363
787.39,10.0101439
787.986,4.483661916
788.588,2.777357103
789.788,5.841633512
790.109,8.667673637
790.985,64.91525187
791.872,33.18554061
792.771,34.3772207
793.68,33.58776728
794.599,19.48726994
795.529,84.02498607
796.469,544.6048356
797.181,292.2196546
798.138,329.1010729
799.105,164.4157248
800.081,64.48309714
801.066,109.646901
802.06,41.47856395
803.062,12.61098302
804.073,239.7836823
804.76,19.99497457
804.951,9.461348703
805.265,9.481770336
806.08,164.0316108
806.901,19.08631911
807.732,179.3431607
808.562,156.7618348
809.396,100.722843
810.235,2.676295914
811.078,35.67379671
811.926,102.2437987
812.724,26.28457099
813.579,21.15502729
814.438,29.58436
815.035,136.9877547
815.901,193.1457446
816.77,146.1007168
817.642,14.87487557
818.954,7.165045235
819.835,10.2793043
820.718,7.748995089
821.696,8.091592092
821.766,1.931045479
822.888,3.149170093
824.014,3.342154704
825.145,0.893971568
826.137,13.51734988
827.275,2.26671488
828.415,13.79766379
829.56,2.226142124
833.081,5.781029659
835.901,63.04222981
836.988,11.49581805
837.184,13.40062993
839.661,10.10374915
